,Date,Tweets
0,2020-04-10,"RT @Pathik_Trader: #Reliance
#Motabhai

Trading at support turn resistance zone.

Daily candle is showing indecisiveness.

Look for shortin…"
1,2020-04-10,"RT @bigfundu: #Reliance Retail is now on #Netmeds. 

Get groceries, pantry essentials and enjoy home delivery in 173 cities. I just checked…"
2,2020-04-10,"Perfect #Shorting candidate for coming Days !!!
Fifth #Elliottwave and #50EMA #Resistance in #Reliance 

Targets: 700 to 749

#Nifty #BankNifty #NiftyAuto #NiftyMetal #Gann
@nishkumar1977 @AnilSinghvi_ @InvesysCapital
@Mitesh_Engr @AmitabhJha3 @Abhishekkar_ https://t.co/oYIzfqyhOn"
3,2020-04-10,"This was our call on #reliance the day after #lockdown announce. #RIL up 40% in #lockdown while country shut. This are Mafia's. And you think by drawing lines u will made money from this Mafia's. 
""Desh band mukhes Bhai 40% up""
Yeh Hota hei business. #Trader #stocks https://t.co/h9ChLlkMr4"
4,2020-04-10,"🅿🅱  
Daily Video #PS
1. #Feedstock #Naphtha #Ethylene
2.China #Spot #Future
3.Latest Offers($/t): #China,#India,#Pakistan #KSA #Turkey#Europe
4.Offers From #SABIC #BOROUGE #GAIL #RELIANCE #IOCL #MRPL #HMEL
5. #ArabPlast  
6 #K2019 #K2022 https://t.co/J6DBBi0DTC"
5,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
6,2020-04-10,"🅿🅱  
Daily Video #ABS
1. #Feedstock #Naphtha #Ethylene
2.China #Spot #Future
3.Latest Offers($/t): #China,#India,#Pakistan #KSA #Turkey#Europe
4.Offers From #SABIC #BOROUGE #GAIL #RELIANCE #IOCL #MRPL #HMEL
5. #ArabPlast  
6 https://t.co/AcaE0ZdA72"
7,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
8,2020-04-10,"RT @mpparimal: Dear Anant, I wish you all the very best on your birthday! May Lord Dwarkadeesh’s blessings be with you always. Wishing you…"
9,2020-04-10,"RT @DhanrajNathwani: Happy Birthday, Dear Anant!
""Future belongs to those who believe in the beauty of their dreams"". Using these lovely wo…"
10,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
11,2020-04-10,#Niftyenergy Last close 11987; if close above 12360 Levels we see sky rocket move. What will happen to #reliance Do you know where we have bought and kept?? Our ultimate target for #reliance?? Where will #nifty50 be if that happens??
12,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
13,2020-04-10,"Is this how business is normally thought  of? 15 years of gestation on the basis of aggressive projections? What is the 20% growth is not achieved for 20 years? What if competition arises? #Reliance comes in aggressively into it?
The #ecommerce end of it takes a big leap?"
14,2020-04-10,"A domestic industry source informed the #Polymerupdate team about domestic price revisions of #PE announced by #Reliance Industries Limited (#RIL)..

Link for a FREE trial: https://t.co/7kJuTBmLsp

Contact us : +91-22-61772000 / info@polymerupdate.com
#PolymerNews #petrochemicals https://t.co/2ZB8siRDKN"
15,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
16,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
17,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
18,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
19,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
20,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
21,2020-04-10,SBI stock levels for upcoming time https://t.co/KEOLOcV5lD  #SBI #sbin #sbibank #banknifty #Nifty #nifty50 #NiftyBank #sensex #StockMarket #StockMarketCrash2020 #Stock2020 #investing #tradingstrategy #trading #tradingpsychology #technicalanalysis #reliance
22,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
23,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
24,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
25,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
26,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
27,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
28,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
29,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
30,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
31,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
32,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
33,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
34,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
35,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
36,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
37,2020-04-10,"RT @taran_adarsh0: #OneWordReview...
#83film : ENTERTAINER.
Rating: ⭐️⭐⭐️⭐️
Well-packaged *entertainer* that will roar at BO... Storyline i…"
38,2020-04-10,"RT @ril_foundation: Social distancing is not a matter of choice...it's a matter of life. 
Maintain #SocialDistancing &amp; #StaySafe.

#CoronaH…"
